Organization Name,Financial Institution Type,Native CDFI (Y/N),City,State,Zipcode,Address,Organization Website
"Habitat for Humanity of Minnesota, Inc.",Loan Fund,N,St. Paul,MN,55114,2171 University Ave.W.,www.hfhmn.org
Habitat for Humanity of Oregon,Loan Fund,N,Portland,OR,97217--414,5825 N Greeley Ave,habitatoregon.org
"Habitat Omaha Affordable Mortgage Solutions, Inc.",Loan Fund,N,Omaha,NE,68102,"1229 Millwork Ave, Suite 301",Non given
Harbor Bank of Maryland Community Development Corporation,Loan Fund,N,Baltimore,MD,21201--370,25 West Fayette Street,www.harborcdc.org
"Harlem Entrepreneurial Fund, LLC",Loan Fund,N,New York,NY,10027--484,"361 West 125th Street, 2nd FL",https://www.hefnyc.org
Hartford Community Loan Fund,Loan Fund,N,Hartford,CT,06105,215 Garden St.,HartfordLoans.org
Hartford Economic Development  Corporation,Loan Fund,N,Hartford,CT,06106,207 Main St. 4th Fl,http://www.hedco-ct.com
Hawaii Community Lending Inc,Loan Fund,Y,Waimanalo,HI,96795,PO Box 210,www.HawaiiCommunityLending.com
Hawaii Community Reinvestment Corporation,Loan Fund,N,HONOLULU,HI,96801,P.O. Box 3409,http://www.hcrchawaii.com
Hawaii Habitat for Humanity Association,Loan Fund,N,Honolulu,HI,96822,"C/O LCH
1730 Punahou Street",http://hawaiihabitat.org/
HDC Community Fund LLC,Loan Fund,N,Portland,OR,97214,"524 E Burnside Street, Suite 210",www.hdc-nw.org
HHOC Mortgage,Loan Fund,N,Honolulu,HI,96817--396,1259 Aala St #201,http://www.hhocmortgage.org
Hmong American Partnership ECDC,Loan Fund,N,Saint Paul,MN,55103,"394 University Ave W
2nd Floor",www.hmong.org
Hmong Wisconsin Chamber of Commerce,Loan Fund,N,Milwaukee,WI,53225,5423 N. 118th Ct,http://hmongchamber.org
Ho-Chunk Community Capital Inc.,Loan Fund,Y,Winnebago,NE,68071,214 Ho Chunk Plaza North,www.hochunkcdfi.org
"Home Headquarters, Inc.",Loan Fund,N,Syracuse,NY,13204--242,"538 Erie Blvd., West,  Suite 100",www.homehq.org
Homeownership Lending LLC,Loan Fund,N,New York,NY,10005--402,120 Wall street  20th Floor,https://www.homeownershiplending.org/loanprogram
Homes Are Possible Inc.,Loan Fund,N,Aberdeen,SD,57401,125 South 2nd Street,homesarepossible.org
"HomesFund (La Plata Homes Fund, Inc.)",Loan Fund,N,Durango,CO,81302--217,PO Box 2179,www.homesfund.org
HomeSight,Loan Fund,N,Seattle,WA,98118--192,5117 Rainier Avenue South,www.homesightwa.org
"Homewise, Inc.",Loan Fund,N,Santa Fe,NM,87507--311,"1301 Siler Road, Bldg D",www.homewise.org
Hope Enterprise Corporation,Loan Fund,N,Jackson,MS,39202--343,4 Old River Place  Suite A,https://www.hopecu.org
Hopi Credit Association,Loan Fund,Y,Keams Canyon,AZ,86034--125,P.O. Box 1259,hopicredit.us
Housing Assistance Council,Loan Fund,N,Washington,DC,20036,"1828 L Street NW, Suite 505",www.ruralhome.org
"Housing Development Fund, Inc.",Loan Fund,N,Stamford,CT,06901--169,100 Prospect Street  Suite 100,www.hdfconnects.org
"Housing Partnership Fund, Inc., The",Loan Fund,N,Boston,MA,02108--261,One Washington Mall  12th Floor,www.housingpartnership.net
Housing Trust Fund of Santa Barbara County,Loan Fund,N,Santa Barbara,CA,93160--090,P.O. Box 60909,www.sbhousingtrust.org
Housing Trust Fund Ventura County,Loan Fund,N,Camarillo,CA,93010--632,"360 Mobil Ave., Suite 213A",www.housingtrustfundvc.org
Housing Trust Silicon Valley,Loan Fund,N,San Jose,CA,95113--183,"75 E Santa Clara Street, Suite 1350",http://www.housingtrustsv.org
"Houston Business development, Inc.",Loan Fund,N,Houston,TX,77021--377,5330 Griggs Road,http://www.hbdi.org
"Hudson Valley Agri-Business Development Corporation, The",Loan Fund,N,Hudson,NY,12534,507 Warren St,www.hvadc.org
Human/Economic Appalachian Development Corporation,Loan Fund,N,London,KY,40743,PO Box 995,www.headcorp.org
IFF,Loan Fund,N,Chicago,IL,60604--410,"333 South Wabash Avenue
Suite 2800",www.iff.org
Impact Capital,Loan Fund,N,Seattle,WA,98104,701 Fifth Ave Suite 5500,www.impactcapital.org
Impact Development Fund,Loan Fund,N,Loveland,CO,80537--487,200 E. 7th St. #412,http://www.impactdf.org
"Impact Loan Fund, Inc.",Loan Fund,N,Philadelphia,PA,19134--312,1952 East Allegheny Avenue,www.impactloanfund.org
"Impact Seven, Incorporated",Loan Fund,N,Rice Lake,WI,54868--752,2961 Decker Dr.,www.impactseven.org
Inclusiv Inc,Loan Fund,N,New York,NY,10006--306,39 Broadway  Suite 2140,www.inclusiv.org
Inclusive Action for the City,Loan Fund,N,Los Angeles,CA,90033,2900 E Cesar E Chavez Ave,www.inclusiveaction.org
Indian Land Capital Company LLC,Loan Fund,Y,Little Canada,MN,55117--152,151 County Road B2 E,http://www.ilcc.net
"Indianapolis Neighborhood Housing Partnership, Inc.",Loan Fund,N,Indianapolis,IN,46205--371,3550 North Washington Blvd.,www.inhp.org
Initiative Foundation,Loan Fund,N,Little Falls,MN,56345--300,405 First Street SE,http://www.ifound.org
"Institute Capital, Inc.",Loan Fund,N,Durham,NC,27701,114 West Parrish  Street,www.theinstitutenc.org
Institute for Community Economics,Loan Fund,N,Washington,DC,20007--377,"1101 30th Street, NW  Suite 400",http://www.nhtinc.org/ice.php
International Institute CDC,Loan Fund,N,St. Louis,MO,63118--200,3401 Arsenal St.,http://www.iistl.org
Invest Detroit Foundation,Loan Fund,N,Detroit,MI,48243--180,600 Renaissance Center  Suite 1710,investdetroit.com
Invest PGH Inc.,Loan Fund,N,Pittsburgh,PA,15219--134,"412 Boulevard of the Allies 
Suite 901",www.investpgh.org
Iowa Center Loan Fund,Loan Fund,N,DES MOINES,IA,50312,2210 GRAND AVENUE,Non given
Iowa Community Capital,Loan Fund,N,Boone,IA,50036--079,"915 8th Street, Suite 205",Non given
"IRC's Center For Economic Opportunity, Inc. (CEO)",Loan Fund,N,New York,NY,10168--128,"c/o Jennifer Sime 
122 E. 42nd Street, 12th Floor",http://irc-ceo.org/
"Ithaca Neighborhood Housing Services, Inc.",Loan Fund,N,Ithaca,NY,14850--563,115 West Clinton Street,www.ithacanhs.org
"JARI Growth Fund, Inc.",Loan Fund,N,Johnstown,PA,15901--291,"245 Market Street, Suite 200",www.jarigrowthfund.com
"Just Community, LLC",Loan Fund,N,Austin,TX,78715,PO Box 153188,www.hellojust.com
Justine Petersen Housing & Reinvestment Corporation,Loan Fund,N,St. Louis,MO,63106,1023 North Grand Blvd,www.justinepetersen.org
Kentucky Habitat for Humanity,Loan Fund,N,Louisville,KY,40207--239,330 N. Hubbards Lane #3,http://www.kyhabitat.org
La Fuerza Unida Community Development Corporation,Loan Fund,N,Rockville Centre,NY,11570--491,"265 Sunrise Highway, Ste.  1-702","http://www,lafuerzacdc.org"
"Lafayette Neighborhood Housing Services, Inc.",Loan Fund,N,Lafayette,IN,47905,671 N. 36th Street,http://www.homesteadcs.org
Lake County Community Development Corp.,Loan Fund,N,Ronan,MT,59864--271,407 Main Street SW,http://www.lakecountycdc.org/
Lake Superior Community Development Corp.,Loan Fund,Y,L'Anse,MI,49946--101,1 N. Front Street,https://www.lakesuperiorcdc.com/
"Lakeview Community Capital, LLC",Loan Fund,N,Horsham,PA,19044,"507 Prudential Road, Suite 100B",http://www.lakeviewcommunitycapital.com/
"Lakota Fund, Inc., The",Loan Fund,Y,Kyle,SD,57752--034,"4241 BIA 2, Lakota Trade Center, Suite 103  P.O. Box 340",www.lakotafunds.org
Landmarks Community Capital Corporation,Loan Fund,N,Pittsburgh,PA,15219--118,"100 W. Station Square Drive, Ste. 400",http://www.landmarkscommunitycapital.org
Latino Economic Development Center,Loan Fund,N,Saint Paul,MN,55106,804 Margaret Street,http://www.ledcmn.org
Latino Economic Development Corporation (LEDC),Loan Fund,N,Washington,DC,20009--471,"1401 Columbia Rd, NW
Unit C-1",http://www.ledcmetro.org
Legacy Redevelopment Corporation,Loan Fund,N,Milwaukee,WI,53205--124,1536B W. North Ave,www.lrcmke.com
Lei Hoolaha,Loan Fund,Y,Kamuela,HI,96743--164,P. O. Box 1642,http://www.lhcdfi.org
Leviticus 25:23 Alternative Fund Inc,Loan Fund,N,Tarrytown,NY,10591,220 White Plains Road Suite 415,www.leviticusfund.org
"Life Asset, Inc.",Loan Fund,N,Washington,DC,20009--200,2448A 18th St NW,www.lifeasset.org
"LiftFund, Inc.",Loan Fund,N,San Antonio,TX,78210,2014 S. Hackberry St,www.liftfund.com
"Local Enterprise Assistance Fund, Inc.",Loan Fund,N,Boston,MA,02135,386 Western Ave.,www.leaffund.org
Local Initiatives Support Corporation,Loan Fund,N,New York,NY,10005,"28 Liberty Street
Floor 34",www.lisc.org
Locus Impact Fund,Loan Fund,N,Richmond,VA,23294--421,"7814 Carousel Lane, Suite 100",http://locusimpact.org
"Long Island Housing Partnership Community Development Financial Institution, Inc.",Loan Fund,N,Hauppauge,NY,11788--373,180 Oser Avenue  Suite 800,http://www.LIHP.org
"Louisiana Community Development Capital Fund, Inc.",Loan Fund,N,Baton Rouge,LA,70806--000,"Louisiana Community Development Capital Fund, Inc.  3313 Government Street",Non given
"Louisville Housing Opportunities and Micro-Enterprise Community Development Loan Fund, Inc., The",Loan Fund,N,LOUISVILLE,KY,40215,1126 Berry Blvd,http://www.lhomeky.org
Low Income Investment Fund,Loan Fund,N,San Francisco,CA,94105,"49 Stevenson Street, Suite 300",http://www.liifund.org
Lowell Community Loan Fund,Loan Fund,N,Lawrence,MA,01840--186,"50 Island Street, Suite 103",www.mccinvest.org
"Lower Brule Community Development Enterprise, LLC",Loan Fund,Y,Reston,VA,20190--474,"11710 Plaza America Drive
Suite 2000",Not Available
Magnet Lending Corporation,Loan Fund,N,Lansing,MI,48906,502 E. Cesar E Chavez Ave.,Non given
Main Street Launch,Loan Fund,N,Oakland,CA,94612--306,"2101 Webster Street , Suite 1200",www.mainstreetlaunch.org
"Maryland Capital Enterprises, Inc.",Loan Fund,N,Salisbury,MD,21804--523,314 Civic Avenue,www.marylandcapital.org
Massachusetts Housing Investment Corporation,Loan Fund,N,Boston,MA,02110--352,"21 Custom House Street, 8th Floor",http://www.mhic.com
"Mazaska Owecaso Otipi Financial, Inc",Loan Fund,Y,Pine Ridge,SD,57770--199,PO Box 1996,www.mazaskacdfi.org
McLennan Community Investment Fund,Loan Fund,N,Waco,TX,76701,"605 Austin Avenue
Suite 3",mccif.org
"MentorWorks Education Capital, Inc.",Loan Fund,N,Boston,MA,02110,"101 Arch Street, 8th Floor",mentorworks.com
Mercy Community Capital,Loan Fund,N,DENVER,CO,80202--492,1600 Broadway SUITE 2000,www.mercycommunitycapital.org
"Metro Community Development, Inc.",Loan Fund,N,Flint,MI,48503,1174 Robert T. Longway Blvd.,http://www.metrocommunitydevelopment.com
Metropolitan Consortium of Community Developers,Loan Fund,N,Minneapolis,MN,55407--153,3137 Chicago Ave So,http://www.mccdmn.org
Metropolitan Economic Development Association,Loan Fund,N,Minneapolis,MN,55411--263,1256 Penn Avenue North  Suite 4800,http://www.meda.net
"MHIC, LLC",Loan Fund,N,Boston,MA,02110--350,"21 Custom House Street,
8th Floor",www.mhic.com
MIAMI BAYSIDE FOUNDATION INC,Loan Fund,N,MIAMI,FL,33131--150,25 SE 2ND AVE STE 240,http://www.miamibaysidefoundation.org
"Miami-Dade Affordable Housing Foundation, Inc.",Loan Fund,N,Miami,FL,33126,"7855 NW 12 STREET, SUITE 102",mdahfi.org
Michigan Community Capital,Loan Fund,N,Lansing,MI,48906,"502 E. Cesar E. Chavez Avenue, Suite A",www.michigancommunitycapital.org
"Michigan Women's Foundation, The",Loan Fund,N,Detroit,MI,48207--264,1155 Brewery Park Blvd Suite 260,www.miwf.org
Micro Enterprise Services of Oregon,Loan Fund,N,Portland,OR,97212--111,4008 NE MLK Jr. Blvd,http://mesopdx.org
Midlands Housing Trust Fund,Loan Fund,N,Columbia,SC,29201,"1201 Main, Ste. 1480  Attn: Jeff Larimore",http://www.midlandshousing.org
"Midwest Housing Development Fund, Inc.",Loan Fund,N,Omaha,NE,68118--254,515 N 162nd Avenue  Suite 202,mhdfinc.com
Midwest Minnesota Community Development Corporation,Loan Fund,N,Detroit Lakes,MN,56501--303,"119 Graystone Plaza, Suite 100",www.mmcdc.com
Milwaukee Economic Development Corporation,Loan Fund,N,Milwaukee,WI,53202--361,"757 North Broadway, Suite 600",http://www.medconline.com
Mission Asset Fund,Loan Fund,N,San Francisco,CA,94110--500,3269 Mission Street,http://missionassetfund.org
Mission Community Loan Fund LLC,Loan Fund,N,San Francisco,CA,94110--189,"2301 Mission Street
Suite 301",http://medasf.org/programs/adelante-fund-mission-community-loans-small-business-loans-san-francisco/
Mni Sota Fund,Loan Fund,Y,Minneapolis,MN,55406,4009 E Lake St,mnisotafund.org
Montana Community Development Corporation,Loan Fund,N,Missoula,MT,59802--453,229 East Main,www.mofi.org
"Montana Homeownership Network, Inc. The",Loan Fund,Y,Great Falls,MT,59401--360,17 5th Street South,http://www.nwmt.org
"Mountain Association for Community Economic Development, Inc.",Loan Fund,N,Berea,KY,40403--151,433 Chestnut Street,http://www.mtassociation.org
"Mountain BizCapital, Inc. d/b/a Mountain BizWorks",Loan Fund,N,Asheville,NC,28801--279,153 South Lexington Avenue,www.mountainbizworks.org
Mountain Housing Opportunities Loan Fund,Loan Fund,N,Asheville,NC,28801--332,"64 Clingman Avenue, Suite 101",http://www.mtnhousing.org
Mvskoke Loan Fund,Loan Fund,Y,Okmulgee,OK,74447,P.O. Box 580,https://www.MvskokeFund.com
NACDC Financial Services Inc.,Loan Fund,Y,Browning,MT,59417--302,201 N. Piegan Street  P.O. Box 3029,www.nacdcfinancialservices.com
National Asian American Coalition,Loan Fund,N,Daly City,CA,94015--141,"318 Westlake Center, Suite 270",http://www.naac.org
National Association for Latino Community Asset Builders,Loan Fund,N,San Antonio,TX,78238,5404 Wurzbach Rd,www.nalcab.org
National Housing Trust Community Development Fund,Loan Fund,N,Washington,DC,20007--377,"1101 30th Street, NW  Suite 100A",http://www.nhtinc.org/nhtcdf.asp
"NATIONAL MINORITY SUPPLIER DEVELOPMENT COUNCIL BUSINESS CONSORTIUM FUND, INC.",Loan Fund,N,NEW YORK,NY,10105,"1345 Avenue of the Americas, 33rd floor",http://www.bcfcapital.com
Native American Development Corporation,Loan Fund,Y,Billings,MT,59101,17 N 26th St,www.nadc-nabn.org
Native Community Capital,Loan Fund,Y,Laguna,NM,87026--017,PO Box 176,www.nativecap.org
"Native Partnership for Housing, Inc.",Loan Fund,Y,Gallup,NM,87301--581,1664 South Second Street,www.npfh.org
"Native360 Loan Fund, Inc.",Loan Fund,Y,GRAND ISLAND,NE,68802,PO Box 5683,https://native360.org/
Navajo community Development Financial Institution Inc Non Profit,Loan Fund,Y,Window Rock,AZ,86515,PO Box 4919,http://www.navajocdfi.com
"NCRC Community Development Fund, Inc",Loan Fund,N,Washington,DC,20005--602,"740 15th St NW, Suite 400",www.ncrc.org
NDC Community Impact Loan Fund,Loan Fund,N,Boston,MA,02284--532,PO Box 845322,www.growamerica.org
Nebraska Enterprise Fund,Loan Fund,N,Oakland,NE,68045--113,330 N. Oakland Ave.,www.nebbiz.org
NeDA Centro de Finanzas LLC,Loan Fund,N,St. Paul,MN,55107,481 Wabasha Street S.,Non given
"NeighborGood Partners, Inc.",Loan Fund,N,Dover,DE,19904--272,363 Saulsbury Rd,http://www.neighborgoodpartners.org
Neighborhood Community Development Fund,Loan Fund,N,Pittsburgh,PA,15214--000,3923 Perrysville Avenue,www.ncd-fund.org
NEIGHBORHOOD DEVELOPMENT CENTER,Loan Fund,N,SAINT PAUL,MN,55104--509,625 UNIVERSITY AVE W,www.ndc-mn.org
Neighborhood Finance Corporation,Loan Fund,N,Des Moines,IA,50310,4908 Franklin Ave,http://www.neighborhoodfinance.org
Neighborhood Housing Finance Corporation,Loan Fund,N,Quincy,MA,02169--571,422 Washington Street,www.nhsmass.org
"Neighborhood Housing Services of Baltimore, Inc.",Loan Fund,N,Baltimore,MD,21218--603,"25 East 20th Street , Suite 170",http://nhsbaltimore.org
"Neighborhood Housing Services of Duluth, Inc.",Loan Fund,N,Duluth,MN,55805--187,12 East 4th St.,www.1roofhousing.org
"Neighborhood Housing Services of Greater Berks, Inc.",Loan Fund,N,Reading,PA,19601--339,213 N. 5th Street,http://www.nhsgb.org
"Neighborhood Housing Services of New York City, Inc.",Loan Fund,N,New York,NY,10018--649,"306 West 37 Street, Suite 1101",www.nhsnyc.org
"Neighborhood Housing Services of Orange County, Inc.",Loan Fund,N,Orange,CA,92867--483,1748 W. Katella Avenue Suite 202,www.nwoc.org
Neighborhood Housing Services of Rochester Inc,Loan Fund,N,ROCHESTER,NY,14620--133,570 SOUTH AVENUE,www.ncpny.org
"Neighborhood Housing Services of San Antonio, Inc.",Loan Fund,N,San Antonio,TX,78210--392,851 Steves Avenue,http://nhsofsa.org
"Neighborhood Housing Services of South Florida, Inc.",Loan Fund,N,Miami,FL,33128--101,300 NW 12th Avenue,www.nhssf.org
"NEIGHBORHOOD HOUSING SERVICES OF THE INLAND EMPIRE, INC.",Loan Fund,N,SAN BERNARDINO,CA,92408,"1845 Business Center Drive, Suite 120",http://www.nhsie.org
"Neighborhood Housing Services of Toledo, Inc.",Loan Fund,N,Toledo,OH,43605--211,P. O. Box 8125,http://nwtoledo.org
"Neighborhood Impact Investment Fund, Inc.",Loan Fund,N,Baltimore,MD,21211,"PO Box 354
711 West 40th Street, Suite 153",https://www.baltimoreniif.org
"Neighborhood Lending Partners of Florida, Inc.",Loan Fund,N,Tampa,FL,33607--250,3615 West Spruce Street,www.nlp-inc.com
"Neighborhood Lending Services, Inc.",Loan Fund,N,Chicago,IL,60607,"850 W Jackson Blvd., Suite 500",www.nhschicago.org
"Neighborhood Lending Services, LLC",Loan Fund,N,Deadwood,SD,57732--100,795 Main Street,http://neighborworksdhr.org
"Neighborhood Partnership Housing Services, Inc.",Loan Fund,N,Rancho Cucamonga,CA,91730--600,9551 Pittsburgh Ave.,http://nphsinc.org
"Neighborhood Self-employment Initiative, Inc.",Loan Fund,N,INDIANAPOLIS,IN,46204--540,111 MONUMENT CIRCLE Suite 1950,Non given
NeighborWorks Capital,Loan Fund,N,Silver Spring,MD,20910--560,8484 Georgia Ave  Suite 330,www.neighborworkscapital.org
Network for Oregon Affordable Housing,Loan Fund,N,Portland,OR,97201--516,"1750 S. Harbor Way, Suite 245",http://noah-housing.org
"New Hampshire Community Loan Fund, Inc.",Loan Fund,N,Concord,NH,03301--374,7 Wall Street,www.communityloanfund.org
New Hope Community Capital Inc.,Loan Fund,N,Boston,MA,02116--624,185 Dartmouth Street,http://www.newhopehousinginc.org/
NEW MEXICO COMMUNITY DEVELOPMENT LOAN FUND,Loan Fund,N,ALBUQUERQUE,NM,87103--070,P.O. BOX 705,www.loanfund.org
New Roots Fund,Loan Fund,N,Seattle,WA,98002,515 B Street NE,http://dioceserroseattle.org
"NEWCORP, INC.",Loan Fund,N,New Orleans,LA,70119--000,2533 Columbus Street Suite 204,www.newcorpinc.com
"NewTown Loans, LLC",Loan Fund,N,Macon,GA,31201,555 Poplar Street,www.newtownmacon.com/loans
"NewWest Community Capital, Inc.",Loan Fund,N,Boise,ID,83702,"950 W. Bannock Street, Suite 1100",www.newwestcapital.org
"NHS Lending, Inc.",Loan Fund,N,Boise,ID,83707--222,P.O. Box 8223,www.nwboise.org
NHS Neighborhood Lending Services,Loan Fund,N,Los Angeles,CA,90010--330,"3926 Wilshire Blvd,  Ste. 200",www.nhslacounty.org
Nimiipuu Community Development Fund,Loan Fund,Y,Lapwai,ID,83540,95 Agency Rd  PO Box 114,www.nimiipuufund.org
Nixyaawii Community Financial Services,Loan Fund,Y,Pendleton,OR,97801,46440 Kusi Rd A-3,Nixyaawii-cdfi.org
Nogales Community Development Corporation,Loan Fund,N,Nogales,AZ,85628--042,Po Box 421,http://www.nogalescdc.org
Nonprofit Finance Fund,Loan Fund,N,New York,NY,10004--265,"5 Hanover Square, 9th FL",www.nff.org
"North Alabama Revolving Loan Fund, LLC",Loan Fund,N,Huntsville,AL,35805,2808 6th Street SW,http://www.neighborhoodconcepts.org
North Central Massachusetts Development Corporation,Loan Fund,N,Fitchburg,MA,01420--690,860 South Street,http://northcentralmassonline.com
North Philadelphia Financial Partnership,Loan Fund,N,Philadelphia,PA,19132--276,"1300 W. Lehigh Avenue, Suite 100",www.npfp.org
"Northeast Entrepreneur Fund, Inc.",Loan Fund,N,Duluth,MN,55802--197,"202 West Superior Street
Suite 311",http://www.entrepreneurfund.org
Northeast South Dakota Economic Corporation (NESDEC),Loan Fund,N,Sisseton,SD,57262--190,104 Ash Street East,www.growsd.org
Northern Community Investment Corporation,Loan Fund,N,St. Johnsbury,VT,05819--279,"51 Depot Square, Suite #2",http://www.ncic.org
Northern Great Lakes Initiatives,Loan Fund,N,Marquette,MI,49855,101 W. Washington St. Suite 9,www.northerninitiatives.org
Northern Maine Development Commission,Loan Fund,N,Caribou,ME,04736--410,"11 West Presque Isle Road
PO Box 779",www.nmdc.org
"Northern Shores Community Development, Inc.",Loan Fund,Y,Petoskey,MI,49770,"2200 East Mitchell Road, Unit E",nscdi.org
Northland Foundation,Loan Fund,N,Duluth,MN,55802--194,"202 West Superior Street, Suite 800",http://www.northlandfdn.org
Northwest Access Fund,Loan Fund,N,Shoreline,WA,98155,PO Box 55759,http://www.nwaccessfund.org
Northwest Minnesota Foundation,Loan Fund,N,Bemidji,MN,56601--311,201 3rd Street NW,http://www.nwmf.org
Northwest Native Development Fund,Loan Fund,Y,Coulee Dam,WA,99116--015,PO Box 154,www.thenndf.org
Northwest Side Community Development Corporation,Loan Fund,N,Milwaukee,WI,53216--182,"4201 North 27th Street, 7th Floor  Century City Tower",http://www.nwscdc.org
NYBDC Local Development Corporation,Loan Fund,N,Albany,NY,12207--153,50 Beaver Street,http://www.pursuitlending.com
Office of Rural and Farmworker Housing,Loan Fund,N,Yakima,WA,98902--296,"1400 Summitview Avenue, #203",http://www.orfh.org
Ohio Capital Finance Corporation,Loan Fund,N,Columbus,OH,43215--352,"88 East Broad Street,  Suite 1800",Non given
Oklahoma Assistive Technology Foundation,Loan Fund,N,Stillwater,OK,74074--453,601 S. Washington  #282,www.okatfoundation.org
"OMAHA 100, INC",Loan Fund,N,OMAHA,NE,68111--387,2401 LAKE STREET,www.Omaha100.org
"Opening Doors, Inc.",Loan Fund,N,Sacramento,CA,95825--854,"1111 Howe Ave., Suite 125",www.openingdoorsinc.org
"Oportun, Inc.",Loan Fund,N,San Carlos,CA,94070,2 Circle Star Way,https://oportun.com/
Opportunity Finance Network,Loan Fund,N,Philadelphia,PA,19109--102,"123 S. Broad Street
Suite 1930",www.ofn.org
Opportunity Resource Fund,Loan Fund,N,Lansing,MI,48912--231,330 Marshall Street  Suite 105,http://www.oppfund.org
OTR Fund I LLC,Loan Fund,N,Irving,TX,75061--562,1500 N. Loop 12,www.ontheroadlending.org
"Our Microlending, Llc",Loan Fund,N,Miami,FL,33145,3191 Coral Way Suite 109,http://www.ourmicrolending.com
Oweesta Corporation,Loan Fund,Y,Longmont,CO,80501--110,2432 Main St,www.oweesta.org
PACE Finance Corporation,Loan Fund,N,Los Angeles,CA,90017--565,1055 Wilshire Blvd.  Suite 1475,www.pacela.org
"Pacific Coast Regional, Small Business Development Corporation",Loan Fund,N,Los Angeles,CA,90010--141,"3255 Wilshire Blvd., Suite 1501",http://www.pcrcorp.org
"Pacific Community Ventures, Inc.",Loan Fund,N,Oakland,CA,94612,"1714 Franklin St, Suite 100-347",Non given
"Pacific Northwest Tribal Lending, a Community Development Financial Institution",Loan Fund,Y,Bellingham,WA,98225--295,"12 Bellwether Way
Suite 224",www.lummicdfi.org
Palm Beach County Black Business Investment Corporation,Loan Fund,N,West Palm Beach,FL,33409,"380 Columbia Drive, Suite 100",www.pbcbbic.biz
"Partner Community Capital, Inc.",Loan Fund,N,Charles Town,WV,25414,P.O. Box 839,www.partnercapital.org
"Partners for the Common Good, Inc.",Loan Fund,N,Washington,DC,20005--289,"1201 15TH St NW
Suite 200",www.pcgloanfund.org
"PathStone Enterprise Center, Inc.",Loan Fund,N,Rochester,NY,14607--191,400 East Avenue,http://www.pseci.org
Pennsylvania Assistive Technology Foundation,Loan Fund,N,King of Prussia,PA,19406--120,1004 West 9th Avenue,http://www.patf.us
People Incorporated Financial Services,Loan Fund,N,Abingdon,VA,24210--470,1173 West Main Street,www.peopleinc.net
People Trust,Loan Fund,N,Little Rock,AR,72209,5300 West 65th Street,www.providingequalopportunities.org
PeopleFund,Loan Fund,N,Austin,TX,78702--150,"2921 E. 17th Street  Building D, Suite 1",www.peoplefund.org
Peoples Opportunity Fund,Loan Fund,N,San Luis Obispo,CA,93401,1060 Kendall Road,http://www.pshhc.org
PIDC Community Capital,Loan Fund,N,Philadelphia,PA,19102--211,1500 Market Street  Suite 3500 West,http://www.PIDCphila.com
Piedmont Business Capital,Loan Fund,N,Greensboro,NC,27406--220,"1451 S. Elm-Eugene Street
Suite 2121",www.piedmontbusinesscapital.org
Piedmont Housing Alliance,Loan Fund,N,Charlottesville,VA,22901,682 Berkmar Circle,www.piedmonthousingalliance.org
"Pocatello Neighborhood Housing Services, Inc.",Loan Fund,N,Pocatello,ID,83204--114,P.O. Box 1146,http://www.nwpocatello.org
Ponce Neighborhood Housing Services,Loan Fund,N,Ponce,PR,00733--022,Calle Mendez Vigo #57,www.facebook.poncenhs/Ponce Neighborhood Housing Services
Portland Housing Center,Loan Fund,N,Portland,OR,97232--255,3233 NE Sandy Blvd,www.portlandhousingcenter.org
"Poverty Solutions, Inc.",Loan Fund,N,Torrance,CA,90501,370 Amapola Ave. Suite 200A,www.povsol.com
"PPEP Microbusiness and Housing Development Corporation, Inc.",Loan Fund,N,Tucson,AZ,85713--507,802 E 46th Street,http://www.pmhdc.net/
"Prestamos CDFI, LLC",Loan Fund,N,Phoenix,AZ,85034--404,1024 E. Buckeye Road   Suite 270,prestamosloans.com
Prince Georges Financial Services Corporation,Loan Fund,N,Largo,MD,20774--546,1801 McCormick Drive  Suite 300,www.fscfirst.com
"Progress Fund, The",Loan Fund,N,Greensburg,PA,15601--221,425 West Pittsburgh Street,www.progressfund.org
Propel Nonprofits,Loan Fund,N,Minneapolis,MN,55414--103,"1 SE Main ST, STE 600",www.propelnonprofits.org
Prosperus Detroit Micro Lending,Loan Fund,N,Detroit,MI,48202,"440 Burroughs Street, Suite 360",www.prosperusdetroit.org
Providence Revolving Fund,Loan Fund,N,Providence,RI,02903--351,372 West Fountain Street,http://www.revolvingfund.org
Puerto Rico NHS,Loan Fund,N,SAN JUAN,PR,00908--392,PO BOX 13926 San Juan Puerto Rico,Non given
Quaboag Valley Business Assistance Corporation,Loan Fund,N,Ware,MA,01082--135,"23 West Main Street, Suite #1",http://www.qvcdc.org
Rainier Valley Community Development Fund,Loan Fund,N,Seattle,WA,98118--354,"6951 Martin Luther King Jr Way S, Ste 225",http://www.rvcdf.org
"Raza Development Fund, Inc.",Loan Fund,N,Phoenix,AZ,85040--304,410 E Southern Ave,www.razafund.org
"Redbud Financial Alternatives, Inc.",Loan Fund,N,Hazard,KY,41702,PO Box 7363,https://www.redbudfinancialalternatives.org/
REDF Impact Investing Fund,Loan Fund,N,San Francisco,CA,94103,"785 Market Street, Suite 1200",https://redf.org/what-we-do/impact-lending/
"Reinvestment Fund, Inc., The",Loan Fund,N,Philadelphia,PA,19103--390,1700 Market Street  19th Floor,http://www.reinvestment.com
"Renaissance Community Loan Fund, Inc.",Loan Fund,N,Gulfport,MS,39503--601,8917 Lorraine Road,www.rclfms.com
