activity_year,HMDA_name,Number of Single Family Principle Residence Loans,CDFI Headquarter State, Average Loan Size , Totals ,"Bank, Credit Union or Loan Fund: B/C"
2023,THE FIRST BANK,387,MS," $342,390.18 "," $132,505,000.00 ",B
2023,COMMUNITY 1ST CREDIT UNION,384,IA," $132,500.00 "," $50,880,000.00 ",C
2023,WASHINGTON STATE EMPLOYEES CREDIT UNION,383,WA," $534,242.82 "," $204,615,000.00 ",C
2023,GREYLOCK FEDERAL CREDIT UNION,356,MA," $270,280.90 "," $96,220,000.00 ",C
2023,GECU,299,TX," $207,140.47 "," $61,935,000.00 ",C
2023,BANKFIRST FINANCIAL SERVICES,280,MS," $290,750.00 "," $81,410,000.00 ",B
2023,GTE FEDERAL CREDIT UNION,265,FL," $372,283.02 "," $98,655,000.00 ",C
2023,FREEDOM FIRST FEDERAL CREDIT UNION,226,VA," $269,734.51 "," $60,960,000.00 ",C
2023,GESA CREDIT UNION,226,WA," $322,079.65 "," $72,790,000.00 ",C
2023,SECURITY FEDERAL BANK,226,SC," $276,415.93 "," $62,470,000.00 ",B
2023,COMMUNITY CHOICE CREDIT UNION,223,CO," $269,753.36 "," $60,155,000.00 ",C
2023,ASSEMBLIES OF GOD CREDIT UNION,213,MO," $259,178.40 "," $55,205,000.00 ",C
2023,"GUARANTY BANK & TRUST, N.A",213,MS," $305,469.48 "," $65,065,000.00 ",B
2023,PARTNERS FEDERAL CREDIT UNION,201,CA," $513,656.72 "," $103,245,000.00 ",C
2023,FARMERS BANK & TRUST COMPANY,196,AR," $216,683.67 "," $42,470,000.00 ",B
2023,COOPERATIVA DE AHORRO Y CREDITO LA PUERTORRIQUEN脤茠A,187,PR," $115,267.38 "," $21,555,000.00 ",C
2023,ASCENTRA CREDIT UNION,183,IA," $187,786.89 "," $34,365,000.00 ",C
2023,DUPONT COMMUNITY FEDERALLY INSURED STATE-CHARTERED CREDIT UNION,182,VA," $260,494.51 "," $47,410,000.00 ",C
2023,GOLDENWEST FEDERAL CREDIT UNION,182,UT," $406,208.79 "," $73,930,000.00 ",C
2023,PRIORITYONE BANK,174,MS," $280,804.60 "," $48,860,000.00 ",B
2023,NUVISION FEDERAL CREDIT UNION,170,CA," $719,941.18 "," $122,390,000.00 ",C
2023,THE CITIZENS NATIONAL BANK OF MERIDIAN,164,MS," $227,621.95 "," $37,330,000.00 ",B
2023,CREDIT UNION ONE,163,MI," $236,226.99 "," $38,505,000.00 ",C
2023,DAY AIR CREDIT UNION,163,OH," $189,969.33 "," $30,965,000.00 ",C
2023,"NEWPORT NEWS SHIPBUILDING EMPLOYEES CREDIT UNION, INC. DBA BAYPORT CREDIT UNION",163,PR," $336,042.94 "," $54,775,000.00 ",C
2023,MERCHANTS & MARINE BANK,157,MS," $247,802.55 "," $38,905,000.00 ",B
2023,GROW FINANCIAL FEDERAL CREDIT UNION,147,FL," $377,517.01 "," $55,495,000.00 ",C
2023,UNIVERSITY OF MICHIGAN CREDIT UNION,146,MI," $277,876.71 "," $40,570,000.00 ",C
2023,ROYAL BUSINESS BANK,144,CA," $459,861.11 "," $66,220,000.00 ",B
2023,TELHIO CREDIT UNION,143,OH," $299,755.24 "," $42,865,000.00 ",C
2023,TINKER FEDERAL CREDIT UNION,141,OK," $182,163.12 "," $25,685,000.00 ",C
2023,Y-12 FEDERAL CREDIT UNION,141,TN," $285,567.38 "," $40,265,000.00 ",C
2023,SOUTHERN BANCORP BANK,135,AR," $194,851.85 "," $26,305,000.00 ",B
2023,HERITAGE FINANCIAL CREDIT UNION,132,NY," $313,712.12 "," $41,410,000.00 ",C
2023,ORION FEDERAL CREDIT UNION,128,TN," $267,968.75 "," $34,300,000.00 ",C
2023,ATOMIC CREDIT UNION,126,OH," $195,952.38 "," $24,690,000.00 ",C
2023,SELCO COMMUNITY CREDIT UNION,121,OR," $380,702.48 "," $46,065,000.00 ",C
2023,INTERNATIONAL BANK OF CHICAGO,120,IL," $265,333.33 "," $31,840,000.00 ",B
2023,VANTAGE WEST CREDIT UNION,120,AZ," $368,750.00 "," $44,250,000.00 ",C
2023,COOPERATIVA DE AHORRO Y CREDITO DE RINCON,113,PR," $116,150.44 "," $13,125,000.00 ",C
2023,PONCE BANK,111,NY," $539,414.41 "," $59,875,000.00 ",B
2023,RIVERMARK COMMUNITY CREDIT UNION,111,OR," $393,378.38 "," $43,665,000.00 ",C
2023,ENVISION CREDIT UNION,108,FL," $222,777.78 "," $24,060,000.00 ",C
2023,SELF-HELP CREDIT UNION,107,NC," $218,271.03 "," $23,355,000.00 ",C
2023,HAPO COMMUNITY CREDIT UNION,106,WA," $400,377.36 "," $42,440,000.00 ",C
2023,TRAVIS CREDIT UNION,105,CA," $544,047.62 "," $57,125,000.00 ",C
2023,FINANCIAL RESOURCES FEDERAL CREDIT UNION,103,NJ," $526,844.66 "," $54,265,000.00 ",C
2023,LIBERTY BANK AND TRUST COMPANY,100,LA," $316,200.00 "," $31,620,000.00 ",B
2023,DESCO CREDIT UNION,99,OH," $142,474.75 "," $14,105,000.00 ",C
2023,MAZUMA CREDIT UNION,93,KS," $253,279.57 "," $23,555,000.00 ",C
2023,OMNI COMMUNITY CREDIT UNION,84,MI," $167,976.19 "," $14,110,000.00 ",C
2023,"SUNRISE BANKS, NATIONAL ASSOCIATION",82,MN," $265,365.85 "," $21,760,000.00 ",B
2023,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION,81,MS," $269,320.99 "," $21,815,000.00 ",B
2023,PEOPLES COMMUNITY BANK,77,MO," $150,584.42 "," $11,595,000.00 ",B
2023,SIU CREDIT UNION,74,IL," $135,675.68 "," $10,040,000.00 ",C
2023,ELGA CREDIT UNION,72,MI," $177,777.78 "," $12,800,000.00 ",C
2023,FIRST COMMERCE CREDIT UNION,72,FL," $288,333.33 "," $20,760,000.00 ",C
2023,FIRST INDEPENDENCE BANK,72,MI," $405,416.67 "," $29,190,000.00 ",B
2023,BANKFIRST,71,MS," $210,211.27 "," $14,925,000.00 ",B
2023,CLEARWATER FEDERAL CREDIT UNION,71,MT," $342,323.94 "," $24,305,000.00 ",C
2023,COOPERATIVA DE AHORRO Y CREDITO VEGA ALTA,71,PR," $102,323.94 "," $7,265,000.00 ",C
2023,BANK OF HOLLY SPRINGS,70,MS," $747,857.14 "," $52,350,000.00 ",B
2023,FARMERS BANK AND TRUST COMPANY,69,AR," $210,217.39 "," $14,505,000.00 ",B
2023,SEATTLE METROPOLITAN CREDIT UNION,69,WA," $453,550.72 "," $31,295,000.00 ",C
2023,COMMERCIAL BANK & TRUST CO,68,AR," $380,882.35 "," $25,900,000.00 ",B
2023,ANSTAFF BANK,67,AR," $227,537.31 "," $15,245,000.00 ",B
2023,BANK3,67,TN," $282,462.69 "," $18,925,000.00 ",B
2023,FIRSTLIGHT FEDERAL CREDIT UNION,67,TX," $228,134.33 "," $15,285,000.00 ",C
2023,FORT FINANCIAL FEDERAL CREDIT UNION,66,IN," $227,575.76 "," $15,020,000.00 ",C
2023,FREEDOM NORTHWEST CREDIT UNION,66,ID," $230,909.09 "," $15,240,000.00 ",C
2023,FNBC BANK,64,AR," $186,875.00 "," $11,960,000.00 ",B
2023,CAPITAL EDUCATORS FEDERAL CREDIT UNION,60,ID," $317,666.67 "," $19,060,000.00 ",C
2023,COOPERATIVA DE AHORRO Y CREDITO DE CAMUY,60,PR," $111,000.00 "," $6,660,000.00 ",C
2023,USF FEDERAL CREDIT UNION,60,FL," $360,666.67 "," $21,640,000.00 ",C
2023,CARTER FEDERAL CREDIT UNION,59,LA," $290,762.71 "," $17,155,000.00 ",C
2023,PLANTERS BANK & TRUST COMPANY,59,MS," $227,542.37 "," $13,425,000.00 ",B
2023,CPM FEDERAL CREDIT UNION,54,SC," $321,666.67 "," $17,370,000.00 ",C
2023,FINANCIAL PARTNERS CREDIT UNION,54,CA," $469,259.26 "," $25,340,000.00 ",C
2023,REV FEDERAL CREDIT UNION,53,SC," $390,471.70 "," $20,695,000.00 ",C
2023,LOUISIANA FEDERAL CREDIT UNION,51,LA," $244,215.69 "," $12,455,000.00 ",C
2023,BOM BANK,50,LA," $305,600.00 "," $15,280,000.00 ",B
2023,CITIZENS PROGRESSIVE BANK,50,LA," $196,400.00 "," $9,820,000.00 ",B
2023,BAY BANK,49,WI," $214,387.76 "," $10,505,000.00 ",B
2023,COOPERATIVA DE AHORRO Y CREDITO ORIENTAL,48,PR," $113,333.33 "," $5,440,000.00 ",C
2023,ORANGE COUNTY'S CREDIT UNION,48,CA," $669,583.33 "," $32,140,000.00 ",C
2023,CENTRIC FEDERAL CREDIT UNION,47,LA," $143,936.17 "," $6,765,000.00 ",C
2023,INTERSTATE CREDIT UNION,46,GA," $105,652.17 "," $4,860,000.00 ",C
2023,APPALACHIAN COMMUNITY FEDERAL CREDIT UNION,43,VA," $183,372.09 "," $7,885,000.00 ",C
2023,FNB PICAYUNE BANK,42,MS," $171,666.67 "," $7,210,000.00 ",B
2023,SECURITY CREDIT UNION,42,MI," $154,047.62 "," $6,470,000.00 ",C
2023,ANECA FEDERAL CREDIT UNION,41,LA," $297,439.02 "," $12,195,000.00 ",C
2023,BANK OF ZACHARY,41,LA," $426,463.41 "," $17,485,000.00 ",B
2023,EAST IDAHO CREDIT UNION,41,ID," $362,317.07 "," $14,855,000.00 ",C
2023,HOMELAND BANCSHARES,40,LA," $236,250.00 "," $9,450,000.00 ",B
2023,TIDEMARK FEDERAL CREDIT UNION,40,DE," $367,250.00 "," $14,690,000.00 ",C
2023,VALLEY FIRST CREDIT UNION,40,CA," $420,000.00 "," $16,800,000.00 ",C
2023,CASE CREDIT UNION,38,MI," $168,684.21 "," $6,410,000.00 ",C
2023,RIO GRANDE CREDIT UNION,38,NM," $240,789.47 "," $9,150,000.00 ",C
2023,BRIGHTSTAR CREDIT UNION,36,FL," $218,888.89 "," $7,880,000.00 ",C
2023,CITIZENS SAVINGS BANK AND TRUST COMPANY,36,TN," $385,555.56 "," $13,880,000.00 ",B
2023,COMMUNITY FIRST CREDIT UNION,36,CA," $166,944.44 "," $6,010,000.00 ",C
2023,PEACH STATE FEDERAL CREDIT UNION,35,GA," $295,571.43 "," $10,345,000.00 ",C
2023,CBC FEDERAL CREDIT UNION,34,CA," $1,322,941.18 "," $44,980,000.00 ",C
2023,O BEE CREDIT UNION,34,WA," $360,294.12 "," $12,250,000.00 ",C
2023,CLB THE COMMUNITY BANK,33,LA," $122,272.73 "," $4,035,000.00 ",B
2023,TEXAS BAY CREDIT UNION,33,TX," $311,060.61 "," $10,265,000.00 ",C
2023,OHIO VALLEY COMMUNITY FEDERAL CREDIT UNION,32,OH," $161,250.00 "," $5,160,000.00 ",C
2023,SOUTHERN HERITAGE BANK,32,LA," $192,187.50 "," $6,150,000.00 ",B
2023,COOPERATIVA DE AHORRO Y CREDITO JESUS OBRERO,31,PR," $97,258.06 "," $3,015,000.00 ",C
2023,EXCHANGE BANK & TRUST,31,LA," $239,193.55 "," $7,415,000.00 ",B
2023,NEW YORK UNIVERSITY FEDERAL CREDIT UNION,31,NY," $497,580.65 "," $15,425,000.00 ",C
2023,THE COTTONPORT BANK,31,LA," $211,129.03 "," $6,545,000.00 ",B
2023,THE FIRST NATIONAL BANK OF JEANERETTE,31,LA," $255,967.74 "," $7,935,000.00 ",B
2023,COOPERATIVA DE AHORRO Y CREDITO CAGUAS,30,PR," $99,333.33 "," $2,980,000.00 ",C
2023,CONCORDIA BANK & TRUST COMPANY,28,LA," $248,214.29 "," $6,950,000.00 ",C
2023,OPPORTUNITIES CREDIT UNION,28,VT," $290,357.14 "," $8,130,000.00 ",C
2023,STATE EMPLOYEES CREDIT UNION,28,NM," $284,642.86 "," $7,970,000.00 ",C
2023,ALTAONE FEDERAL CREDIT UNION,27,CA," $253,148.15 "," $6,835,000.00 ",C
2023,HOPE FEDERAL CREDIT UNION,27,MS," $176,111.11 "," $4,755,000.00 ",C
2023,COOPERATIVA DE AHORRO Y CREDITO LAS PIEDRAS,26,PR," $80,769.23 "," $2,100,000.00 ",C
2023,NORTHEAST COMMUNITY CREDIT UNION,26,TN," $191,153.85 "," $4,970,000.00 ",C
2023,COOPERATIVA DE AHORRO Y CREDITO DE MANATI,25,PR," $143,000.00 "," $3,575,000.00 ",C
2023,GIBSLAND BANK & TRUST COMPANY,25,LA," $223,400.00 "," $5,585,000.00 ",B
2023,MID OREGON FEDERAL CREDIT UNION,25,OR," $383,400.00 "," $9,585,000.00 ",C
2023,PINE BLUFF COTTON BELT FEDERAL CREDIT UNION,25,AR," $115,800.00 "," $2,895,000.00 ",C
2023,PIONEER COMMUNITY BANK,25,WV," $101,800.00 "," $2,545,000.00 ",B
2023,PRIME FINANCIAL CREDIT UNION,25,WI," $161,000.00 "," $4,025,000.00 ",C
2023,HOLY ROSARY REGIONAL CREDIT UNION,24,MO," $337,083.33 "," $8,090,000.00 ",C
2023,AOD FEDERAL CREDIT UNION,23,AL," $171,521.74 "," $3,945,000.00 ",C
2023,CARDINAL CREDIT UNION,23,OH," $178,913.04 "," $4,115,000.00 ",C
2023,FBT BANK & MORTGAGE,23,AR," $127,173.91 "," $2,925,000.00 ",B
2023,SANTA CRUZ COMMUNITY CREDIT UNION,23,CA," $264,130.43 "," $6,075,000.00 ",C
2023,LAKE HURON CREDIT UNION,22,MI," $121,818.18 "," $2,680,000.00 ",C
2023,"MUNICIPAL EMPLOYEES CREDIT UNION OF BALTIMORE, INCORPORATED",21,MD," $273,571.43 "," $5,745,000.00 ",C
2023,NEIGHBORS FEDERAL CREDIT UNION,21,LA," $174,047.62 "," $3,655,000.00 ",C
2023,USC CREDIT UNION,21,CA," $570,714.29 "," $11,985,000.00 ",C
2023,ESSENTIAL FEDERAL CREDIT UNION,20,LA," $249,000.00 "," $4,980,000.00 ",C
2023,"GOLDEN BANK, NATIONAL ASSOCIATION",20,TX," $855,000.00 "," $17,100,000.00 ",B
2023,"IH CREDIT UNION, INC",20,IL," $142,500.00 "," $2,850,000.00 ",C
2023,PANHANDLE CREDIT UNION,20,FL," $357,000.00 "," $7,140,000.00 ",C
2023,PELICAN STATE CREDIT UNION,20,LA," $71,000.00 "," $1,420,000.00 ",C
2023,CARIBE FEDERAL CREDIT UNION,19,PR," $129,210.53 "," $2,455,000.00 ",C
2023,LIMEBANK,19,MO," $123,947.37 "," $2,355,000.00 ",B
2023,MARINE FEDERAL CREDIT UNION,19,NC," $292,368.42 "," $5,555,000.00 ",C
2023,CANTON SCHOOL EMPLOYEES FEDERAL CREDIT UNION,18,OH," $137,777.78 "," $2,480,000.00 ",C
2023,COLFAX BANKING COMPANY,18,LA," $106,666.67 "," $1,920,000.00 ",B
2023,CROSS KEYS BANK,18,LA," $310,000.00 "," $5,580,000.00 ",B
2023,FIRST CENTRAL CREDIT UNION,18,TX," $148,333.33 "," $2,670,000.00 ",C
2023,INROADS FEDERAL CREDIT UNION,18,OR," $272,777.78 "," $4,910,000.00 ",C
2023,THE SAMSON BANKING COMPANY,18,AL," $98,333.33 "," $1,770,000.00 ",B
2023,121 FINANCIAL CREDIT UNION,17,FL," $462,647.06 "," $7,865,000.00 ",C
2023,FERGUSON FEDERAL CREDIT UNION,17,MS," $126,764.71 "," $2,155,000.00 ",C
2023,ALTERNATIVES FEDERAL CREDIT UNION,16,NY," $152,500.00 "," $2,440,000.00 ",C
2023,CAPITAL PLUS FINANCIAL,16,TX," $180,625.00 "," $2,890,000.00 ",LOAN FUND
2023,HOLMES COUNTY BANK,16,MS," $115,625.00 "," $1,850,000.00 ",B
2023,LEGACY BANK & TRUST COMPANY,16,MO," $307,500.00 "," $4,920,000.00 ",B
2023,NORTH COAST CREDIT UNION,16,OH," $491,250.00 "," $7,860,000.00 ",C
2023,SAN RAFAEL COOP,16,PR," $111,250.00 "," $1,780,000.00 ",C
2023,CAROLINA FOOTHILLS FEDERAL CREDIT UNION,15,SC," $167,666.67 "," $2,515,000.00 ",C
2023,COOPERATIVA DE AHORRO Y CREDITO HATILLO,15,PR," $116,333.33 "," $1,745,000.00 ",C
2023,LANDMARK BANK,15,LA," $378,333.33 "," $5,675,000.00 ",B
2023,MOUNTAIN CREDIT UNION,15,NC," $201,000.00 "," $3,015,000.00 ",C
2023,UNITED CREDIT UNION,15,IL," $125,000.00 "," $1,875,000.00 ",C
2023,MERITUS FEDERAL CREDIT UNION,14,LA," $158,571.43 "," $2,220,000.00 ",C
2023,PROGRESSIVE NATIONAL BANK,14,LA," $151,428.57 "," $2,120,000.00 ",B
2023,CONNECT BANK,13,AR," $78,076.92 "," $1,015,000.00 ",B
2023,ILLIANA FINANCIAL CREDIT UNION,13,IL," $131,923.08 "," $1,715,000.00 ",C
2023,NEIGHBORHOOD NATIONAL BANK,13,CA," $304,230.77 "," $3,955,000.00 ",B
2023,ONPATH FEDERAL CREDIT UNION,13,LA," $281,153.85 "," $3,655,000.00 ",C
2023,SECURITY BANK AND TRUST COMPANY,13,TN," $195,000.00 "," $2,535,000.00 ",B
2023,ALLTRU FEDERAL CREDIT UNION,12,MO," $190,000.00 "," $2,280,000.00 ",C
2023,FRIEND BANK,12,AL," $209,166.67 "," $2,510,000.00 ",B
2023,BANK OF COMMERCE AND TRUST COMPANY,11,LA," $143,181.82 "," $1,575,000.00 ",B
2023,CONNECTIONS CREDIT UNION,11,ID," $255,909.09 "," $2,815,000.00 ",C
2023,COOPERATIVA DE AHORRO Y CREDITO DEL VALENCIANO,11,PR," $134,090.91 "," $1,475,000.00 ",C
2023,GUADALUPE CREDIT UNION,11,NW," $188,636.36 "," $2,075,000.00 ",C
2023,TEXAS NATIONAL BANK,11,TX," $171,363.64 "," $1,885,000.00 ",B
2023,UNIVERSITY OF LOUISIANA FEDERAL CREDIT UNION,11,LA," $200,454.55 "," $2,205,000.00 ",C
2023,COASTHILLS CREDIT UNION,10,CA," $503,000.00 "," $5,030,000.00 ",C
2023,DIAMOND LAKES FEDERAL CREDIT UNION,10,AR," $185,000.00 "," $1,850,000.00 ",C
2023,FIRST EAGLE BANCSHARES,10,IL," $692,000.00 "," $6,920,000.00 ",B
2023,INSOUTH BANK,10,TN," $205,000.00 "," $2,050,000.00 ",B
2023,PLAQUEMINE BANK & TRUST COMPANY,10,LA," $152,000.00 "," $1,520,000.00 ",B
2023,SOUTHWEST LOUISIANA CREDIT UNION,10,LA," $108,000.00 "," $1,080,000.00 ",C
2023,US COMMUNITY CREDIT UNION,10,TN," $322,000.00 "," $3,220,000.00 ",C
2023,COMMUNITY BANK,9,TN," $129,444.44 "," $1,165,000.00 ",B
2023,PUBLIC SERVICE CREDIT UNION,9,MI," $190,555.56 "," $1,715,000.00 ",C
2023,ROBERTSON BANKING COMPANY,9,AL," $285,000.00 "," $2,565,000.00 ",B
2023,SUNBELT FEDERAL CREDIT UNION,9,MS," $137,222.22 "," $1,235,000.00 ",C
2023,TAMPA BAY FEDERAL CREDIT UNION,9,FL," $198,333.33 "," $1,785,000.00 ",C
2023,BANK OF FOREST,8,MS," $225,000.00 "," $1,800,000.00 ",B
2023,CENTRAL WILLAMETTE CREDIT UNION,8,OR," $141,250.00 "," $1,130,000.00 ",C
2023,CLINCHFIELD FEDERAL CREDIT UNION,8,TN," $175,000.00 "," $1,400,000.00 ",C
2023,COOPERATIVA DE AHORRO Y CREDITO DE ISABELA,8,PR," $110,000.00 "," $880,000.00 ",C
2023,FELICIANA BANK & TRUST COMPANY,8,LA," $233,750.00 "," $1,870,000.00 ",B
2023,MINNESOTA POWER EMPLOYEES CREDIT UNION,8,MN," $251,250.00 "," $2,010,000.00 ",C
2023,OSWEGO COUNTY FEDERAL CREDIT UNION,8,NY," $102,500.00 "," $820,000.00 ",C
2023,SPC CREDIT UNION,8,SC," $148,750.00 "," $1,190,000.00 ",C
2023,TRUST FEDERAL CREDIT UNION,8,TN," $186,250.00 "," $1,490,000.00 ",C
2023,WE FLORIDA FINANCIAL,8,FL," $263,750.00 "," $2,110,000.00 ",C
2023,WEST ALABAMA BANK & TRUST,8,AL," $215,000.00 "," $1,720,000.00 ",B
2023,COMMERCIAL CAPITAL BANK,7,LA," $95,000.00 "," $665,000.00 ",B
2023,COMMUNITY SOUTH CREDIT UNION,7,FL," $165,000.00 "," $1,155,000.00 ",B
2023,DECATUR COUNTY BANK,7,TN," $167,857.14 "," $1,175,000.00 ",B
2023,FARMERS-MERCHANTS BANK & TRUST COMPANY,7,LA," $93,571.43 "," $655,000.00 ",B
2023,FIRST SUNCOAST TRUST BANCSHARES,7,AL," $193,571.43 "," $1,355,000.00 ",B
2023,GREATER NEW ORLEANS FEDERAL CREDIT UNION,7,LA," $220,714.29 "," $1,545,000.00 ",C
2023,"GUARANTY BANK & TRUST COMPANY OF DELHI, LOUISIANA",7,LA," $226,428.57 "," $1,585,000.00 ",B
2023,NUTMEG STATE FINANCIAL CREDIT UNION,7,CT," $392,142.86 "," $2,745,000.00 ",C
2023,SOUTH GEORGIA BANKING COMPANY,7,GA," $75,000.00 "," $525,000.00 ",B
2023,GULF COAST COMMUNITY FEDERAL CREDIT UNION,6,MS," $198,333.33 "," $1,190,000.00 ",C
2023,KATAHDIN FEDERAL CREDIT UNION,6,ME," $211,666.67 "," $1,270,000.00 ",C
2023,NORTH JERSEY FEDERAL CREDIT UNION,6,NJ," $536,666.67 "," $3,220,000.00 ",C
2023,ABBEY CREDIT UNION,5,OH," $231,000.00 "," $1,155,000.00 ",C
2023,BOSSIER FEDERAL CREDIT UNION,5,LA," $201,000.00 "," $1,005,000.00 ",C
2023,BREWERY CREDIT UNION,5,WI," $153,000.00 "," $765,000.00 ",C
2023,OUACHITA VALLEY FEDERAL CREDIT UNION,5,LA," $75,000.00 "," $375,000.00 ",C
2023,COMMODORE PERRY FEDERAL CREDIT UNION,4,OH," $105,000.00 "," $420,000.00 ",C
2023,DADE COUNTY FEDERAL CREDIT UNION,4,FL," $425,000.00 "," $1,700,000.00 ",C
2023,EXCITE CREDIT UNION,4,CA," $287,500.00 "," $1,150,000.00 ",C
2023,HARBORSTONE CREDIT UNION,4,WA," $295,000.00 "," $1,180,000.00 ",C
2023,UNITY BANK OF MISSISSIPPI,4,MS," $225,000.00 "," $900,000.00 ",B
2023,ASCENSION CREDIT UNION,3,LA," $115,000.00 "," $345,000.00 ",C
2023,CORE CREDIT UNION,3,GA," $155,000.00 "," $465,000.00 ",C
2023,FREEDOM BANK,3,TX," $808,333.33 "," $2,425,000.00 ",B
2023,HORIZON CREDIT UNION,3,TN," $188,333.33 "," $565,000.00 ",C
2023,MOCSE FEDERAL CREDIT UNION,3,CA," $658,333.33 "," $1,975,000.00 ",C
2023,SELECT SEVEN FEDERAL CREDIT UNION,3,TN," $191,666.67 "," $575,000.00 ",C
2023,THE FOCUS FEDERAL CREDIT UNION,3,OK," $301,666.67 "," $905,000.00 ",C
2023,THE UNITED FEDERAL CREDIT UNION,3,WV," $131,666.67 "," $395,000.00 ",C
2023,CANOPY FEDERAL CREDIT UNION,2,WA," $125,000.00 "," $250,000.00 ",C
2023,COMMUNITY FIRST FEDERAL CREDIT UNION,2,MI," $265,000.00 "," $530,000.00 ",C
2023,FIRST NATIONAL BANCORP,2,AR," $530,000.00 "," $1,060,000.00 ",B
2023,GREEN COUNTRY FEDERAL CREDIT UNION,2,OK," $240,000.00 "," $480,000.00 ",C
2023,HEART O' TEXAS FEDERAL CREDIT UNION,2,TX," $255,000.00 "," $510,000.00 ",C
2023,HEART OF LOUISIANA FEDERAL CREDIT UNION,2,LA," $60,000.00 "," $120,000.00 ",C
2023,MERCO CREDIT UNION,2,CA," $315,000.00 "," $630,000.00 ",C
2023,MULTIPLI CREDIT UNION,2,MO," $365,000.00 "," $730,000.00 ",C
2023,PARTNERS BANK,2,AR," $145,000.00 "," $290,000.00 ",B
2023,PENINSULA COMMUNITY,2,WA," $215,000.00 "," $430,000.00 ",C
2023,PYRAMID FEDERAL CREDIT UNION,2,AZ," $120,000.00 "," $240,000.00 ",C
2023,SOUTHEAST FIRST NATIONAL BANK,2,GA," $65,000.00 "," $130,000.00 ",B
2023,UNITED CONSUMERS CREDIT UNION,2,MO," $175,000.00 "," $350,000.00 ",C
2023,ARLINGTON COMMUNITY FEDERAL CREDIT UNION,1,VA," $255,000.00 "," $255,000.00 ",C
2023,COOPERATIVA DE AHORRO Y CREDITO AGUAS BUENAS,1,PR," $115,000.00 "," $115,000.00 ",C
2023,EAGLE ONE FEDERAL CREDIT UNION,1,DE," $195,000.00 "," $195,000.00 ",C
2023,LAKEVIEW COMMUNITY CAPITAL,1,AZ," $325,000.00 "," $325,000.00 ",LOAN FUND
2023,MEMBERS 1ST CREDIT UNION,1,CA," $325,000.00 "," $325,000.00 ",C
2023,PINAL COUNTY FEDERAL CREDIT UNION,1,AZ," $125,000.00 "," $125,000.00 ",C
2023,SCE FEDERAL CREDIT UNION,1,CA," $45,000.00 "," $45,000.00 ",B
